time,Cin,N1,N2,N3,N4,N5,Ninfty
2.36936936936937,1,0.693851096818835,0.684384008711913,0.703858017315327,0.742995578886301,0.958230867701833,1
2.39139139139139,1,0.697203614585554,0.689239413856546,0.711360178959172,0.752875680190098,0.966166590929135,1
2.41341341341341,1,0.70051942023193,0.694033041085511,0.71872713862917,0.762491175482888,0.972783577256665,1
2.43543543543544,1,0.70379891577814,0.698765278079042,0.725958897477011,0.771842064675734,0.978256048204784,1
2.45745745745746,1,0.707042498841991,0.703436524938021,0.733055590078284,0.780928867483577,0.982745742087816,1
2.47947947947948,1,0.710250562687134,0.708047193458971,0.740017478242336,0.789752593834326,0.986400167367041,1
2.5015015015015,1,0.713423496270741,0.712597706434752,0.746844944906968,0.798314714244055,0.989351703764583,1
2.52352352352352,1,0.716561684290666,0.717088496980158,0.753538488127369,0.80661713030228,0.991717406211485,1
2.54554554554555,1,0.719665507232086,0.721520007881686,0.76009871516777,0.814662145399151,0.993599364013889,1
2.56756756756757,1,0.722735341413632,0.725892690970732,0.76652633670338,0.822452435814492,0.995085474122486,1
2.58958958958959,1,0.725771559033017,0.730207006519501,0.772822161139366,0.829991022276998,0.996250500421199,1
2.61161161161161,1,0.728774528212159,0.734463422658942,0.778987089052811,0.837281242090559,0.997157308044246,1
2.63363363363363,1,0.731744613041819,0.738662414818037,0.785022107762853,0.844326721913792,0.997858180760243,1
2.65565565565566,1,0.734682173625739,0.742804465183789,0.790928286033466,0.851131351268302,0.998396148720991,1
2.67767767767768,1,0.737587566124305,0.746890062181262,0.79670676891271,0.857699256841209,0.998806272094254,1
2.6996996996997,1,0.74046114279773,0.750919699973081,0.802358772711613,0.864034777637852,0.999116842433961,1
2.72172172172172,1,0.743303252048762,0.754893877977764,0.807885580125277,0.870142441031557,0.99935047760354,1
2.74374374374374,1,0.746114238464924,0.758813100406317,0.813288535498234,0.876026939748821,0.999525097472035,1
2.76576576576577,1,0.748894442860298,0.762677875816527,0.81856904023556,0.881693109820226,0.999654776488088,1
2.78778778778779,1,0.751644202316841,0.766488716684391,0.82372854836078,0.887145909519959,0.99975047579995,1
2.80980980980981,1,0.754363850225256,0.770246138992159,0.828768562221141,0.892390399309826,0.999820662122623,1
2.83183183183183,1,0.757053716325416,0.77395066183246,0.833690628340407,0.897431722797292,0.999871823393194,1
2.85385385385385,1,0.759714126746339,0.777602807028008,0.838496333418959,0.902275088711106,0.99990889274736,1
2.87587587587588,1,0.762345404045731,0.781203098766404,0.843187300480619,0.906925753892773,0.999935592819042,1
2.8978978978979,1,0.764947867249094,0.784752063249553,0.84776518516528,0.911389007297156,0.999954712099785,1
2.91991991991992,1,0.767521831888406,0.788250228357218,0.852231672166146,0.91567015499115,0.999968324339229,1
2.94194194194194,1,0.770067610040376,0.791698123324295,0.856588471810092,0.919774506135371,0.999977960918868,1
2.96396396396396,1,0.772585510364283,0.795096278431335,0.860837316779417,0.923707359930318,0.999984744939874,1
2.98598598598599,1,0.775075838139398,0.798445224707909,0.864979958973026,0.927473993505373,0.999989494542394,1
3.00800800800801,1,0.777538895301996,0.801745493648404,0.869018166504898,0.93107965072631,0.999992801794582,1
3.03003003003003,1,0.779974980481966,0.804997616939838,0.872953720837478,0.934529531894678,0.999995092402529,1
3.05205205205205,1,0.782384389039018,0.808202126201315,0.876788414047499,0.937828784310483,0.999996670523785,1
3.07407407407407,1,0.784767413098491,0.811359552734737,0.88052404622159,0.940982493667936,0.999997752127602,1
3.0960960960961,1,0.787124341586774,0.814470427286409,0.884162422978896,0.94399567625277,0.999998489633865,1
3.11811811811812,1,0.789455460266333,0.817535279819179,0.887705353117826,0.94687327190857,0.999998989972066,1
3.14014014014014,1,0.791761051770363,0.820554639294769,0.891154646383957,0.949620137738821,0.999999327719635,1
3.16216216216216,1,0.794041395637052,0.823529033465956,0.894512111356053,0.952241042510874,0.999999554591679,1
3.18418418418418,1,0.796296768343472,0.826458988678289,0.89777955344707,0.954740661727719,0.999999706247434,1
3.20620620620621,1,0.798527443339105,0.829345029681005,0.900958773016989,0.957123573333404,0.999999807138886,1
3.22822822822823,1,0.80073369107899,0.832187679446865,0.904051563594271,0.959394254018009,0.999999873941777,1
3.25025025025025,1,0.802915779056522,0.834987459000581,0.907059710202706,0.961557076088376,0.999999917967739,1
3.27227227227227,1,0.805073971835876,0.837744887255569,0.909984987790392,0.963616304871196,0.999999946849385,1
3.29429429429429,1,0.80720853108409,0.840460480858737,0.912829159757596,0.965576096615608,0.999999965710213,1
3.31631631631632,1,0.809319715602788,0.843134754043032,0.915593976580245,0.967440496863116,0.999999977971924,1
3.33833833833834,1,0.811407781359556,0.845768218487488,0.91828117452578,0.969213439253407,0.999999985908226,1
3.36036036036036,1,0.813472981518979,0.848361383184517,0.920892474458156,0.970898744735496,0.999999991022532,1
3.38238238238238,1,0.815515566473335,0.850914754314193,0.923429580728779,0.972500121154517,0.999999994304098,1
3.4044044044044,1,0.817535783872955,0.853428835125281,0.925894180150192,0.974021163185513,0.999999996400745,1
3.42642642642643,1,0.819533878656245,0.855904125822796,0.928287941049373,0.975465352586549,0.999999997734705,1
3.44844844844845,1,0.821510093079387,0.858341123461833,0.930612512397542,0.97683605874458,0.999999998579898,1
3.47047047047047,1,0.823464666745709,0.860740321847484,0.932869523013415,0.978136539488594,0.999999999113218,1
3.49249249249249,1,0.825397836634737,0.863102211440597,0.9350605808369,0.979369942145643,0.999999999448384,1
3.51451451451451,1,0.827309837130924,0.865427279269187,0.937187272270279,0.98053930481654,0.99999999965818,1
3.53653653653654,1,0.829200900052072,0.867716008845292,0.939251161583969,0.981647557849111,0.999999999788982,1
3.55855855855856,1,0.831071254677435,0.86996888008708,0.941253790384037,0.982697525488019,0.999999999870216,1
3.58058058058058,1,0.832921127775521,0.872186369246019,0.943196677138668,0.983691927681327,0.999999999920472,1
3.6026026026026,1,0.834750743631582,0.874368948838918,0.945081316760889,0.984633382025034,0.999999999951445,1
3.62462462462462,1,0.836560324074809,0.876517087584677,0.946909180244889,0.985524405827975,0.999999999970462,1
3.64664664664665,1,0.83835008850523,0.878631250345557,0.948681714353358,0.98636741828047,0.999999999982095,1
3.66866866866867,1,0.840120253920306,0.880711898072816,0.950400341353314,0.987164742711236,0.999999999989185,1
3.69069069069069,1,0.841871034941244,0.882759487756539,0.952066458797996,0.987918608918035,0.999999999993491,1
3.71271271271271,1,0.843602643839018,0.884774472379507,0.953681439352425,0.988631155558539,0.999999999996096,1
3.73473473473473,1,0.845315290560104,0.886757300874964,0.955246630660331,0.989304432588883,0.999999999997666,1
3.75675675675676,1,0.847009182751938,0.888708418088112,0.956763355250221,0.989940403738236,0.99999999999861,1
3.77877877877878,1,0.848684525788086,0.890628264741218,0.958232910478399,0.99054094900867,0.999999999999175,1
3.8008008008008,1,0.85034152279315,0.89251727740217,0.959656568506869,0.991107867190432,0.999999999999512,1
3.82282282282282,1,0.851980374667393,0.894375888456363,0.961035576314073,0.991642878383528,0.999999999999713,1
3.84484484484484,1,0.853601280111098,0.896204526081781,0.962371155736508,0.992147626517339,0.999999999999831,1
3.86686686686687,1,0.855204435648657,0.898003614227151,0.963664503539355,0.992623681860696,0.999999999999902,1
3.88888888888889,1,0.8567900356524,0.899773572593037,0.964916791514274,0.993072543515571,0.999999999999943,1
3.91091091091091,1,0.858358272366161,0.901514816615773,0.966129166602621,0.993495641888193,0.999999999999967,1
3.93293293293293,1,0.859909335928587,0.903227757454104,0.967302751042412,0.993894341132032,0.999999999999981,1
3.95495495495495,1,0.861443414396191,0.90491280197844,0.96843864253739,0.994269941557693,0.999999999999989,1
3.97697697697698,1,0.862960693766151,0.906570352762598,0.969537914446656,0.994623682005312,0.999999999999994,1
3.998998998999,1,0.864461357998862,0.908200808077947,0.970601615993365,0.994956742175586,0.999999999999997,1
4.02102102102102,1,0.865945589040242,0.90980456188984,0.971630772491043,0.995270244916029,0.999999999999999,1
4.04304304304304,1,0.867413566843786,0.911382003856248,0.972626385586171,0.995565258459562,0.999999999999999,1
4.06506506506507,1,0.868865469392394,0.912933519328492,0.973589433515707,0.995842798612901,1,1
4.08708708708709,1,0.870301472719938,0.914459489353986,0.974520871378298,0.99610383089267,1,1
4.10910910910911,1,0.871721750932617,0.915960290680911,0.975421631417976,0.996349272607481,1,1
4.13113113113113,1,0.873126476230056,0.91743629576472,0.976292623319209,0.996579994884612,1,1
4.15315315315315,1,0.874515818926192,0.918887872776398,0.97713473451219,0.996796824640186,1,1
4.17517517517518,1,0.87588994746992,0.92031538561241,0.97794883048735,0.997000546492073,1,1
4.1971971971972,1,0.877249028465514,0.921719193906234,0.978735755118085,0.997191904614979,1,1
4.21921921921922,1,0.878593226692831,0.923099653041427,0.979496330990773,0.997371604537449,1,1
4.24124124124124,1,0.879922705127289,0.924457114166147,0.980231359741182,0.997540314880711,1,1
4.26326326326326,1,0.881237624959623,0.925791924209052,0.980941622396412,0.997698669039502,1,1
4.28528528528529,1,0.882538145615433,0.927104425896521,0.981627879721592,0.997847266805183,1,1
4.30730730730731,1,0.883824424774509,0.928394957771121,0.982290872570542,0.997986675931632,1,1
4.32932932932933,1,0.885096618389952,0.929663854211272,0.982931322239712,0.99811743364452,1,1
4.35135135135135,1,0.886354880707083,0.930911445452028,0.983549930824699,0.998240048094736,1,1
4.37337337337337,1,0.887599364282139,0.932138057606943,0.984147381578713,0.998354999756803,1,1
4.3953953953954,1,0.888830220000775,0.933344012690935,0.98472433927238,0.998462742773272,1,1
4.41741741741742,1,0.890047597096354,0.934529628644125,0.985281450554333,0.998563706246115,1,1
4.43943943943944,1,0.891251643168046,0.935695219356565,0.98581934431204,0.99865829547626,1,1
4.46146146146146,1,0.892442504198715,0.936841094693837,0.98633863203238,0.998746893152443,1,1
4.48348348348348,1,0.893620324572627,0.937967560523449,0.986839908161505,0.998829860490617,1,1
4.50550550550551,1,0.89478524709295,0.939074918741995,0.987323750463534,0.9989075383252,1,1
4.52752752752753,1,0.895937412999071,0.940163467303027,0.987790720377696,0.998980248153469,1,1
4.54954954954955,1,0.89707696198372,0.941233500245594,0.988241363373524,0.999048293134462,1,1
4.57157157157157,1,0.898204032209903,0.942285307723417,0.988676209303752,0.999111959043713,1,1
4.59359359359359,1,0.89931876032766,0.943319176034637,0.989095772754598,0.999171515185236,1,1
4.61561561561562,1,0.900421281490629,0.944335387652127,0.989500553393117,0.999227215262096,1,1
